;GDPM;PGDPM;PSCCOM;FYFF;NBREC;TRES
1965:01;2823.691830;24.782483;100.100006;2.480000;10560.000000;11112.000000
1965:02;2858.015766;24.829209;99.300003;2.400000;10624.000000;11129.000000
1965:03;2906.428408;24.788285;101.100006;2.800000;10482.000000;11081.000000
1965:04;2907.736029;24.888892;102.399994;2.960000;10424.000000;11116.000000
1965:05;2910.418859;24.888840;103.500000;2.900000;10317.000000;11058.000000
1965:06;2897.697097;24.922268;103.399994;3.390000;10043.000000;10972.000000
1965:07;2932.763116;25.079448;101.899994;3.440000;10148.000000;11109.000000
1965:08;2949.000311;25.102043;102.000000;3.500000;10177.000000;11168.000000
1965:09;2979.270556;25.118509;101.899994;3.760000;10202.000000;11128.000000
1965:10;3020.786010;25.205850;101.199997;3.980000;10150.000000;11057.000000
1965:11;3025.210849;25.193451;100.500000;4.000000;10194.000000;11052.000000
1965:12;3041.415144;25.200699;98.699997;3.990000;10168.000000;11109.000000
1966:01;3064.561133;25.305380;99.600006;3.990000;10194.000000;11081.000000
1966:02;3087.848419;25.444146;99.000000;3.970000;10074.000000;10884.000000
1966:03;3128.938441;25.450474;99.000000;3.840000;10155.000000;10796.000000
1966:04;3120.390015;25.533737;100.899994;3.920000;10161.000000;10767.000000
1966:05;3094.200987;25.622348;101.300003;3.850000;10344.000000;10840.000000
1966:06;3098.491005;25.643915;100.600006;3.320000;10451.000000;10885.000000
1966:07;3113.912341;25.801064;100.699997;3.230000;10615.000000;10994.000000
1966:08;3125.634393;25.904467;100.500000;2.980000;10782.000000;11078.000000
1966:09;3146.221269;25.994469;98.899994;2.600000;10932.000000;11147.000000
1966:10;3142.113409;26.047140;98.199997;2.470000;11049.000000;11216.000000
1966:11;3152.438798;26.121599;97.600006;2.440000;11166.000000;11299.000000
1966:12;3154.061787;26.131260;96.399994;1.980000;11172.000000;11247.000000
1967:01;3172.211298;26.191768;97.600006;1.450000;11259.000000;11324.000000
1967:02;3186.321547;26.209331;99.500000;2.540000;11096.000000;11229.000000
1967:03;3190.547143;26.198901;101.399994;2.020000;11038.000000;11108.000000
1967:04;3200.420940;26.324073;102.399994;1.500000;11066.000000;11123.000000
1967:05;3195.037869;26.396211;101.800003;1.980000;10940.000000;11035.000000
1967:06;3182.506193;26.479716;98.899994;1.730000;11024.000000;11087.000000
1967:07;3199.422765;26.614654;99.399994;1.160000;11070.000000;11124.000000
1967:08;3245.365130;26.725405;100.000000;2.000000;11169.000000;11234.000000
1967:09;3205.759096;26.759941;99.399994;1.880000;11251.000000;11289.000000
1967:10;3198.707642;26.933153;98.600006;2.260000;11342.000000;11413.000000
1967:11;3253.815689;26.987668;97.600006;2.620000;11384.000000;11482.000000
1967:12;3267.070680;27.079179;99.600006;2.330000;11366.000000;11499.000000
1968:01;3303.086396;27.289604;100.399994;2.140000;11403.000000;11490.000000
1968:02;3281.091474;27.318614;98.500000;2.370000;11233.000000;11301.000000
1968:03;3303.699128;27.291782;99.000000;2.700000;11170.000000;11259.000000
1968:04;3348.843811;27.469279;97.300003;2.690000;11258.000000;11330.000000
1968:05;3359.884779;27.519495;96.500000;2.290000;11323.000000;11384.000000
1968:06;3337.507405;27.511227;94.899994;2.680000;11226.000000;11328.000000
1968:07;3365.481304;27.687523;94.399994;2.710000;11302.000000;11394.000000
1968:08;3405.267016;27.782166;94.500000;2.930000;11231.000000;11355.000000
1968:09;3352.939667;27.930311;94.399994;2.900000;11303.000000;11383.000000
1968:10;3404.638846;28.115496;94.800003;2.900000;11387.000000;11450.000000
