"","P16","M2","FYGM3","FYAAAC","FYCP","GMW","GMPOL","GMPRO"
"1947:01",101000.000000,196.358561,0.380000,2.570000,1.000000,119.200000,2.200000,37.900000
"1947:02",101210.000000,196.908585,0.380000,2.550000,1.000000,119.400000,2.300000,38.000000
"1947:03",101400.000000,197.871127,0.380000,2.550000,1.000000,120.200000,2.300000,36.700000
"1947:04",101510.000000,199.108681,0.380000,2.530000,1.000000,119.900000,2.300000,34.400000
"1947:05",101660.000000,200.071223,0.380000,2.530000,1.000000,121.500000,2.300000,33.400000
"1947:06",101816.000000,200.758753,0.380000,2.550000,1.000000,123.000000,2.300000,34.100000
"1947:07",101952.000000,201.033765,0.660000,2.550000,1.000000,122.000000,2.400000,34.600000
"1947:08",102065.000000,202.133813,0.750000,2.560000,1.000000,123.200000,2.400000,34.500000
"1947:09",102163.000000,203.096355,0.800000,2.610000,1.020000,124.800000,2.500000,36.700000
"1947:10",102270.000000,203.371367,0.850000,2.700000,1.060000,126.300000,2.500000,36.600000
"1947:11",102393.000000,204.196403,0.920000,2.770000,1.100000,127.800000,2.500000,36.100000
"1947:12",102496.000000,204.196403,0.950000,2.860000,1.220000,129.200000,2.600000,37.600000
"1948:01",102603.000000,204.746427,0.970000,2.860000,1.300000,130.500000,2.600000,38.300000
"1948:02",102698.000000,204.746427,1.000000,2.850000,1.380000,131.000000,2.700000,37.100000
"1948:03",102771.000000,203.921391,1.000000,2.830000,1.380000,132.200000,2.700000,38.800000
"1948:04",102831.000000,203.508873,1.000000,2.780000,1.380000,131.100000,2.700000,41.300000
"1948:05",102923.000000,203.233861,1.000000,2.760000,1.380000,133.200000,2.700000,41.100000
"1948:06",102992.000000,203.233861,1.000000,2.760000,1.380000,134.900000,2.700000,43.700000
"1948:07",103216.000000,203.508873,1.000000,2.810000,1.380000,136.800000,2.700000,42.100000
"1948:08",103240.000000,203.783885,1.060000,2.840000,1.470000,138.700000,2.700000,42.500000
"1948:09",103291.000000,203.646379,1.090000,2.840000,1.540000,139.200000,2.700000,42.300000
"1948:10",103361.000000,203.508873,1.120000,2.840000,1.560000,139.500000,2.800000,42.800000
"1948:11",103424.000000,203.233861,1.140000,2.840000,1.560000,139.600000,2.800000,41.000000
