"","GGE","GGE82","GNET","GNET82","GND82","GBUH82","GGNP82","GPRW82","GYD82","GIF82","GIN82","GV82","GPOP"
"1947:01",25.800000,178.900000,11.900000,44.200000,1051.800000,41.400000,144.100000,4.700000,699.400000,175.800000,123.200000,-0.400000,143.156000
"1947:02",26.400000,180.400000,12.400000,45.100000,1058.100000,42.500000,138.600000,5.100000,685.300000,171.100000,121.100000,-2.900000,143.803000
"1947:03",26.400000,181.300000,12.900000,45.500000,1061.900000,43.500000,135.600000,5.100000,701.400000,177.500000,119.900000,-7.200000,144.462000
"1947:04",26.800000,178.700000,10.500000,34.900000,1074.500000,43.700000,132.300000,5.400000,692.900000,191.100000,122.200000,6.500000,145.135000
"1948:01",28.600000,181.600000,8.700000,25.700000,1080.900000,44.300000,131.100000,6.000000,709.800000,196.300000,128.300000,8.700000,145.761000
"1948:02",31.400000,196.300000,6.700000,18.100000,1099.700000,44.900000,133.300000,6.300000,730.700000,197.600000,125.600000,12.700000,146.341000
"1948:03",33.800000,205.100000,6.500000,16.800000,1110.100000,45.600000,138.100000,6.300000,745.100000,195.700000,125.900000,15.900000,146.973000
"1948:04",36.600000,215.200000,6.000000,16.000000,1119.200000,46.400000,140.900000,6.200000,747.000000,194.300000,129.800000,11.800000,147.659000
"1949:01",37.500000,217.600000,7.900000,22.900000,1106.400000,47.100000,143.900000,6.000000,732.300000,183.600000,123.800000,-0.300000,148.298000
"1949:02",39.300000,226.600000,7.600000,22.200000,1100.100000,48.100000,144.900000,5.800000,731.900000,175.600000,116.900000,-15.500000,148.891000
"1949:03",39.800000,231.400000,6.500000,19.400000,1108.700000,49.100000,145.100000,5.600000,733.100000,174.600000,110.700000,-6.300000,149.529000
"1949:04",39.600000,228.400000,4.200000,10.700000,1098.300000,50.000000,143.000000,5.000000,735.600000,179.900000,108.000000,-16.500000,150.211000
"1950:01",38.000000,225.900000,3.500000,8.600000,1142.800000,50.600000,139.500000,5.400000,788.700000,190.900000,111.100000,11.000000,150.852000
"1950:02",37.200000,221.400000,3.000000,7.700000,1175.200000,51.800000,141.200000,5.800000,784.700000,208.800000,121.400000,17.300000,151.385000
"1950:03",38.300000,229.600000,0.900000,-0.700000,1218.400000,52.700000,151.600000,6.900000,788.200000,223.600000,131.500000,17.900000,152.039000
"1950:04",41.700000,246.400000,1.500000,3.000000,1253.300000,53.900000,166.000000,6.800000,805.600000,219.700000,132.100000,50.600000,152.724000
"1951:01",49.900000,285.900000,1.800000,4.700000,1280.200000,54.700000,182.200000,6.400000,799.600000,211.300000,128.000000,30.400000,153.336000
"1951:02",57.000000,318.300000,3.900000,12.800000,1312.600000,55.700000,193.100000,7.900000,821.000000,203.900000,131.900000,45.100000,153.947000
"1951:03",64.700000,348.000000,5.800000,20.100000,1341.500000,56.800000,198.500000,8.400000,826.900000,201.700000,134.400000,32.100000,154.655000
"1951:04",69.900000,366.800000,6.400000,20.700000,1347.100000,57.800000,201.200000,8.900000,828.500000,200.400000,132.500000,15.700000,155.389000
"1952:01",71.100000,377.100000,5.800000,17.400000,1360.800000,59.200000,209.900000,8.400000,827.800000,203.000000,133.200000,17.000000,156.033000
"1952:02",75.700000,387.600000,4.000000,10.200000,1357.400000,60.500000,209.900000,8.500000,835.700000,204.900000,134.000000,-5.000000,156.644000
"1952:03",77.700000,396.700000,2.100000,2.100000,1369.800000,61.800000,212.300000,8.400000,853.700000,193.600000,123.300000,13.100000,157.324000
"1952:04",78.600000,398.300000,1.000000,-2.200000,1398.700000,62.900000,210.900000,8.100000,860.000000,205.900000,132.000000,14.900000,158.043000
"1953:01",82.000000,411.900000,1.300000,-2.500000,1423.500000,63.800000,210.400000,7.900000,870.400000,213.900000,138.800000,8.400000,158.648000
"1953:02",82.800000,420.200000,0.900000,-4.000000,1436.500000,64.600000,210.400000,8.500000,883.200000,214.400000,139.000000,10.700000,159.234000
"1953:03",82.600000,420.400000,1.300000,-2.800000,1430.600000,65.700000,210.500000,7.600000,881.500000,214.000000,141.400000,3.400000,159.963000
"1953:04",83.600000,423.500000,1.600000,-1.700000,1419.000000,66.300000,207.600000,7.700000,885.100000,213.000000,141.000000,-11.500000,160.713000
"1954:01",79.800000,397.400000,1.700000,-0.900000,1398.700000,67.600000,205.400000,8.100000,885.900000,210.400000,137.700000,-7.200000,161.389000
"1954:02",75.700000,379.000000,2.300000,1.500000,1393.200000,68.900000,204.600000,8.000000,881.600000,214.100000,136.800000,-7.700000,162.044000
"1954:03",75.000000,372.400000,2.700000,3.300000,1409.800000,70.100000,204.700000,8.100000,895.700000,220.800000,138.700000,-5.800000,162.792000
"1954:04",73.700000,364.900000,3.600000,5.900000,1429.600000,71.100000,204.500000,9.200000,912.900000,224.100000,137.000000,1.600000,163.585000
"1955:01",74.600000,364.800000,3.600000,4.400000,1460.300000,71.900000,203.300000,9.300000,918.200000,233.400000,139.800000,11.700000,164.266000
"1955:02",74.300000,358.300000,2.300000,-2.500000,1476.600000,73.100000,201.600000,9.100000,936.700000,243.000000,148.200000,17.800000,164.926000
"1955:03",75.700000,363.200000,3.300000,0.000000,1496.100000,74.200000,202.400000,9.400000,952.800000,247.900000,155.200000,16.400000,165.674000
"1955:04",76.500000,359.000000,2.900000,-1.800000,1509.000000,75.200000,203.100000,9.700000,970.100000,249.500000,160.900000,19.400000,166.481000
"1956:01",77.500000,360.000000,3.400000,-1.500000,1504.800000,76.200000,202.800000,10.900000,978.300000,244.900000,158.800000,17.100000,167.190000
"1956:02",79.600000,364.900000,4.900000,2.900000,1511.800000,77.300000,204.100000,10.800000,985.600000,246.000000,160.500000,12.300000,167.869000
"1956:03",80.000000,362.400000,5.700000,5.100000,1512.600000,78.300000,205.700000,11.200000,990.600000,245.800000,162.100000,11.200000,168.654000
"1956:04",81.500000,367.600000,7.300000,10.800000,1530.700000,79.600000,206.600000,9.900000,1003.000000,242.700000,160.300000,11.100000,169.497000
"1957:01",86.400000,379.400000,8.100000,11.000000,1541.700000,80.800000,207.100000,11.600000,1004.600000,242.100000,161.100000,6.500000,170.218000
"1957:02",86.800000,381.600000,7.700000,9.300000,1539.800000,82.200000,208.200000,12.600000,1011.400000,239.300000,160.100000,6.100000,170.915000
"1957:03",87.800000,382.100000,7.400000,7.500000,1549.500000,83.600000,209.600000,12.000000,1016.800000,241.900000,163.600000,7.300000,171.684000
