"","FYGT10"
"1953:01",0.000000
"1953:02",0.000000
"1953:03",0.000000
"1953:04",2.830000
"1953:05",3.050000
"1953:06",3.110000
"1953:07",2.930000
"1953:08",2.950000
"1953:09",2.870000
"1953:10",2.660000
"1953:11",2.680000
"1953:12",2.590000
"1954:01",2.480000
"1954:02",2.470000
"1954:03",2.370000
"1954:04",2.290000
"1954:05",2.370000
"1954:06",2.380000
"1954:07",2.300000
"1954:08",2.360000
"1954:09",2.380000
"1954:10",2.430000
"1954:11",2.480000
"1954:12",2.510000
"1955:01",2.610000
"1955:02",2.650000
"1955:03",2.680000
"1955:04",2.750000
"1955:05",2.760000
"1955:06",2.780000
"1955:07",2.900000
"1955:08",2.970000
"1955:09",2.970000
"1955:10",2.880000
"1955:11",2.890000
"1955:12",2.960000
"1956:01",2.900000
"1956:02",2.840000
"1956:03",2.960000
"1956:04",3.180000
"1956:05",3.070000
"1956:06",3.000000
"1956:07",3.110000
"1956:08",3.330000
"1956:09",3.380000
"1956:10",3.340000
"1956:11",3.490000
"1956:12",3.590000
"1957:01",3.460000
"1957:02",3.340000
"1957:03",3.410000
"1957:04",3.480000
"1957:05",3.600000
"1957:06",3.800000
"1957:07",3.930000
"1957:08",3.930000
"1957:09",3.920000
"1957:10",3.970000
"1957:11",3.720000
"1957:12",3.210000
"1958:01",3.090000
"1958:02",3.050000
"1958:03",2.980000
"1958:04",2.880000
"1958:05",2.920000
"1958:06",2.970000
"1958:07",3.200000
"1958:08",3.540000
"1958:09",3.760000
"1958:10",3.800000
"1958:11",3.740000
"1958:12",3.860000
"1959:01",4.020000
"1959:02",3.960000
"1959:03",3.990000
"1959:04",4.120000
"1959:05",4.310000
"1959:06",4.340000
"1959:07",4.400000
"1959:08",4.430000
"1959:09",4.680000
"1959:10",4.530000
"1959:11",4.530000
"1959:12",4.690000
"1960:01",4.720000
"1960:02",4.490000
"1960:03",4.250000
"1960:04",4.280000
"1960:05",4.350000
"1960:06",4.150000
"1960:07",3.900000
"1960:08",3.800000
"1960:09",3.800000
"1960:10",3.890000
"1960:11",3.930000
"1960:12",3.840000
"1961:01",3.840000
"1961:02",3.780000
"1961:03",3.740000
"1961:04",3.780000
"1961:05",3.710000
"1961:06",3.880000
"1961:07",3.920000
"1961:08",4.040000
"1961:09",3.980000
"1961:10",3.920000
"1961:11",3.940000
"1961:12",4.060000
"1962:01",4.080000
"1962:02",4.040000
"1962:03",3.930000
"1962:04",3.840000
"1962:05",3.870000
"1962:06",3.910000
"1962:07",4.010000
"1962:08",3.980000
"1962:09",3.980000
"1962:10",3.930000
"1962:11",3.920000
"1962:12",3.860000
"1963:01",3.830000
"1963:02",3.920000
"1963:03",3.930000
"1963:04",3.970000
"1963:05",3.930000
"1963:06",3.990000
"1963:07",4.020000
"1963:08",4.000000
"1963:09",4.080000
"1963:10",4.110000
"1963:11",4.120000
"1963:12",4.130000
"1964:01",4.170000
"1964:02",4.150000
"1964:03",4.220000
"1964:04",4.230000
"1964:05",4.200000
"1964:06",4.170000
"1964:07",4.190000
"1964:08",4.190000
"1964:09",4.200000
"1964:10",4.190000
"1964:11",4.150000
"1964:12",4.180000
"1965:01",4.190000
"1965:02",4.210000
"1965:03",4.210000
"1965:04",4.200000
"1965:05",4.210000
"1965:06",4.210000
"1965:07",4.200000
"1965:08",4.250000
"1965:09",4.290000
"1965:10",4.350000
"1965:11",4.450000
"1965:12",4.620000
"1966:01",4.610000
"1966:02",4.830000
"1966:03",4.870000
"1966:04",4.750000
"1966:05",4.780000
"1966:06",4.810000
"1966:07",5.020000
"1966:08",5.220000
"1966:09",5.180000
"1966:10",5.010000
"1966:11",5.160000
"1966:12",4.840000
"1967:01",4.580000
"1967:02",4.630000
"1967:03",4.540000
"1967:04",4.590000
"1967:05",4.850000
"1967:06",5.020000
"1967:07",5.160000
