"","PGDPM"
"1965:01",24.782483
"1965:02",24.829209
"1965:03",24.788285
"1965:04",24.888892
"1965:05",24.888840
"1965:06",24.922268
"1965:07",25.079448
"1965:08",25.102043
"1965:09",25.118509
"1965:10",25.205850
"1965:11",25.193451
"1965:12",25.200699
"1966:01",25.305380
"1966:02",25.444146
"1966:03",25.450474
"1966:04",25.533737
"1966:05",25.622348
"1966:06",25.643915
"1966:07",25.801064
"1966:08",25.904467
"1966:09",25.994469
"1966:10",26.047140
"1966:11",26.121599
"1966:12",26.131260
"1967:01",26.191768
"1967:02",26.209331
"1967:03",26.198901
"1967:04",26.324073
"1967:05",26.396211
"1967:06",26.479716
"1967:07",26.614654
"1967:08",26.725405
"1967:09",26.759941
"1967:10",26.933153
"1967:11",26.987668
"1967:12",27.079179
"1968:01",27.289604
"1968:02",27.318614
"1968:03",27.291782
"1968:04",27.469279
"1968:05",27.519495
"1968:06",27.511227
"1968:07",27.687523
"1968:08",27.782166
"1968:09",27.930311
"1968:10",28.115496
"1968:11",28.238515
"1968:12",28.245989
"1969:01",28.342385
"1969:02",28.380212
"1969:03",28.477403
"1969:04",28.672887
"1969:05",28.800730
"1969:06",28.926383
"1969:07",29.122197
"1969:08",29.201625
"1969:09",29.276178
"1969:10",29.440312
"1969:11",29.618844
"1969:12",29.740845
"1970:01",29.889435
"1970:02",29.966603
"1970:03",30.143962
"1970:04",30.302999
"1970:05",30.404106
"1970:06",30.492895
"1970:07",30.600911
"1970:08",30.694987
"1970:09",30.804103
"1970:10",30.984430
"1970:11",31.120089
"1970:12",31.195480
"1971:01",31.493728
"1971:02",31.603294
"1971:03",31.702978
"1971:04",31.886920
"1971:05",32.016798
"1971:06",32.096282
"1971:07",32.292595
"1971:08",32.446546
"1971:09",32.460859
"1971:10",32.612026
"1971:11",32.649720
"1971:12",32.838254
"1972:01",33.027145
"1972:02",33.137462
"1972:03",33.135393
"1972:04",33.280854
"1972:05",33.305457
"1972:06",33.313689
"1972:07",33.498283
"1972:08",33.571005
"1972:09",33.730712
"1972:10",33.976182
"1972:11",34.127437
"1972:12",34.196380
"1973:01",34.336720
"1973:02",34.465236
"1973:03",34.698044
"1973:04",34.841310
"1973:05",35.007879
"1973:06",35.150811
"1973:07",35.379247
"1973:08",35.704605
"1973:09",36.016149
"1973:10",36.243638
"1973:11",36.515488
"1973:12",36.740874
"1974:01",36.929946
"1974:02",37.108577
"1974:03",37.261477
"1974:04",37.441227
"1974:05",37.864085
"1974:06",38.094688
"1974:07",38.514764
"1974:08",39.012513
"1974:09",39.472722
"1974:10",39.820791
"1974:11",40.286456
"1974:12",40.492753
"1975:01",40.923117
"1975:02",41.100625
"1975:03",41.276257
"1975:04",41.548579
"1975:05",41.685954
"1975:06",41.865467
"1975:07",42.303240
"1975:08",42.459384
"1975:09",42.737376
"1975:10",43.124973
"1975:11",43.336838
"1975:12",43.438189
"1976:01",43.721371
"1976:02",43.765808
"1976:03",43.912821
"1976:04",44.105201
"1976:05",44.191340
"1976:06",44.303459
