"","POP"
"1947:01",143394.000000
"1947:02",143635.000000
"1947:03",143839.000000
"1947:04",144065.000000
"1947:05",144267.000000
"1947:06",144479.000000
"1947:07",144698.000000
"1947:08",144937.000000
"1947:09",145182.000000
"1947:10",145444.000000
"1947:11",145669.000000
"1947:12",145866.000000
"1948:01",146047.000000
"1948:02",146245.000000
"1948:03",146432.000000
"1948:04",146636.000000
"1948:05",146832.000000
"1948:06",147021.000000
"1948:07",147208.000000
"1948:08",147421.000000
"1948:09",147673.000000
"1948:10",147937.000000
"1948:11",148171.000000
"1948:12",148383.000000
"1949:01",148580.000000
"1949:02",148778.000000
"1949:03",148967.000000
"1949:04",149180.000000
"1949:05",149368.000000
"1949:06",149563.000000
"1949:07",149767.000000
"1949:08",150000.000000
"1949:09",150247.000000
"1949:10",150487.000000
"1949:11",150720.000000
"1949:12",150931.000000
"1950:01",151135.000000
"1950:02",151343.000000
"1950:03",151529.000000
"1950:04",151718.000000
"1950:05",151878.000000
"1950:06",152064.000000
"1950:07",152271.000000
"1950:08",152503.000000
"1950:09",152750.000000
"1950:10",152985.000000
"1950:11",153209.000000
"1950:12",153415.000000
"1951:01",153622.000000
"1951:02",153831.000000
"1951:03",154019.000000
"1951:04",154224.000000
"1951:05",154425.000000
"1951:06",154649.000000
"1951:07",154878.000000
"1951:08",155121.000000
"1951:09",155373.000000
"1951:10",155624.000000
"1951:11",155872.000000
"1951:12",156093.000000
"1952:01",156309.000000
"1952:02",156527.000000
"1952:03",156731.000000
"1952:04",156943.000000
"1952:05",157140.000000
"1952:06",157343.000000
"1952:07",157553.000000
"1952:08",157798.000000
"1952:09",158053.000000
"1952:10",158306.000000
"1952:11",158541.000000
"1952:12",158757.000000
"1953:01",158973.000000
"1953:02",159170.000000
"1953:03",159349.000000
"1953:04",159556.000000
"1953:05",159745.000000
"1953:06",159956.000000
"1953:07",160184.000000
"1953:08",160449.000000
"1953:09",160718.000000
"1953:10",160978.000000
"1953:11",161223.000000
"1953:12",161453.000000
"1954:01",161690.000000
"1954:02",161912.000000
"1954:03",162124.000000
"1954:04",162350.000000
"1954:05",162564.000000
"1954:06",162790.000000
"1954:07",163026.000000
"1954:08",163290.000000
"1954:09",163570.000000
"1954:10",163847.000000
"1954:11",164107.000000
"1954:12",164349.000000
"1955:01",164588.000000
"1955:02",164809.000000
"1955:03",165018.000000
"1955:04",165251.000000
"1955:05",165463.000000
"1955:06",165695.000000
"1955:07",165931.000000
"1955:08",166192.000000
"1955:09",166473.000000
"1955:10",166755.000000
"1955:11",167023.000000
"1955:12",167270.000000
"1956:01",167513.000000
"1956:02",167746.000000
"1956:03",167977.000000
"1956:04",168221.000000
"1956:05",168436.000000
"1956:06",168659.000000
"1956:07",168903.000000
"1956:08",169191.000000
"1956:09",169488.000000
"1956:10",169780.000000
"1956:11",170063.000000
"1956:12",170315.000000
"1957:01",170571.000000
