"","GNP","GNP82","GC","GC82","GPI","GPI82","GD","GDC"
"1947:01",227.500000,1056.500000,156.100000,658.100000,33.700000,175.400000,21.500000,23.700000
"1947:02",231.500000,1063.200000,160.100000,669.400000,32.600000,168.200000,21.800000,23.900000
"1947:03",235.900000,1067.100000,163.700000,670.000000,32.900000,170.200000,22.100000,24.400000
"1947:04",246.100000,1080.000000,167.800000,668.800000,41.000000,197.600000,22.800000,25.100000
"1948:01",252.400000,1086.800000,170.500000,674.600000,44.600000,205.000000,23.200000,25.300000
"1948:02",259.700000,1106.100000,174.200000,681.400000,47.400000,210.300000,23.500000,25.600000
"1948:03",266.600000,1116.300000,177.100000,682.900000,49.200000,211.500000,23.900000,25.900000
"1948:04",267.900000,1125.500000,177.900000,688.300000,47.400000,206.000000,23.800000,25.900000
"1949:01",262.700000,1112.400000,176.800000,688.700000,40.500000,183.200000,23.600000,25.700000
"1949:02",259.200000,1105.900000,178.400000,696.900000,33.900000,160.200000,23.400000,25.600000
"1949:03",260.900000,1114.300000,177.800000,695.300000,36.900000,168.300000,23.400000,25.600000
"1949:04",258.600000,1103.300000,180.300000,700.800000,34.600000,163.400000,23.400000,25.700000
"1950:01",269.300000,1148.200000,183.000000,711.900000,44.800000,201.900000,23.500000,25.700000
"1950:02",278.900000,1181.000000,186.900000,725.800000,51.800000,226.100000,23.600000,25.800000
"1950:03",296.700000,1225.300000,200.600000,754.800000,56.800000,241.600000,24.200000,26.600000
"1950:04",308.100000,1260.200000,198.000000,740.500000,66.900000,270.300000,24.500000,26.700000
"1951:01",322.900000,1286.600000,209.100000,754.400000,62.200000,241.600000,25.100000,27.700000
"1951:02",330.900000,1320.400000,204.700000,740.300000,65.300000,249.000000,25.100000,27.600000
"1951:03",337.700000,1349.800000,207.300000,747.800000,59.900000,233.800000,25.000000,27.700000
"1951:04",342.100000,1356.000000,211.300000,752.300000,54.600000,216.200000,25.200000,28.100000
"1952:01",345.200000,1369.200000,212.700000,754.700000,55.500000,219.900000,25.200000,28.200000
"1952:02",345.700000,1365.900000,216.900000,768.100000,49.000000,199.900000,25.300000,28.200000
"1952:03",351.600000,1378.200000,219.300000,772.700000,52.500000,206.600000,25.500000,28.400000
"1952:04",364.000000,1406.800000,227.400000,790.000000,57.000000,220.800000,25.900000,28.800000
"1953:01",370.700000,1431.400000,230.900000,799.800000,56.500000,222.300000,25.900000,28.900000
"1953:02",374.100000,1444.900000,232.700000,803.700000,57.700000,225.100000,25.900000,29.000000
"1953:03",373.300000,1438.200000,233.600000,803.100000,55.700000,217.400000,26.000000,29.100000
"1953:04",368.200000,1426.600000,233.300000,803.300000,49.700000,201.500000,25.800000,29.000000
"1954:01",367.900000,1406.800000,235.500000,807.100000,50.900000,203.200000,26.200000,29.200000
"1954:02",368.100000,1401.200000,238.200000,814.300000,52.000000,206.400000,26.300000,29.300000
"1954:03",372.800000,1418.000000,240.500000,827.300000,54.700000,215.000000,26.300000,29.100000
"1954:04",381.200000,1438.800000,245.100000,842.300000,58.900000,225.700000,26.500000,29.100000
"1955:01",394.000000,1469.600000,251.100000,855.300000,64.800000,245.100000,26.800000,29.400000
"1955:02",402.300000,1485.700000,256.100000,869.100000,69.600000,260.800000,27.100000,29.500000
"1955:03",410.500000,1505.500000,260.200000,878.000000,71.300000,264.300000,27.300000,29.600000
"1955:04",416.900000,1518.700000,264.200000,892.700000,73.300000,268.900000,27.400000,29.600000
"1956:01",419.500000,1515.700000,265.800000,895.100000,72.800000,262.100000,27.700000,29.700000
"1956:02",425.100000,1522.600000,268.400000,896.500000,72.200000,258.300000,27.900000,29.900000
"1956:03",429.900000,1523.700000,271.500000,899.200000,72.800000,257.100000,28.200000,30.200000
"1956:04",438.300000,1540.600000,276.700000,908.400000,72.900000,253.800000,28.500000,30.500000
"1957:01",447.300000,1553.300000,280.900000,914.300000,71.900000,248.600000,28.800000,30.700000
"1957:02",449.400000,1552.400000,283.200000,916.200000,71.700000,245.300000,28.900000,30.900000
"1957:03",456.500000,1561.500000,287.700000,922.600000,73.600000,249.200000,29.200000,31.200000
"1957:04",450.900000,1537.300000,289.400000,925.700000,67.100000,230.300000,29.300000,31.300000
"1958:01",443.900000,1506.100000,289.000000,916.500000,59.500000,210.900000,29.500000,31.500000
"1958:02",447.900000,1514.200000,291.900000,926.000000,58.200000,206.200000,29.600000,31.500000
"1958:03",461.000000,1550.000000,296.900000,939.700000,64.100000,222.200000,29.700000,31.600000
"1958:04",474.200000,1586.700000,300.700000,949.400000,72.100000,246.400000,29.900000,31.700000
"1959:01",485.100000,1606.400000,308.800000,964.300000,76.900000,261.700000,30.200000,32.000000
"1959:02",497.800000,1637.000000,314.600000,977.200000,84.400000,283.100000,30.400000,32.200000
"1959:03",498.000000,1629.500000,319.800000,986.300000,78.400000,262.400000,30.600000,32.400000
"1959:04",502.400000,1643.400000,321.800000,989.600000,81.100000,274.100000,30.600000,32.500000
"1960:01",516.100000,1671.600000,325.500000,997.100000,88.700000,288.700000,30.900000,32.600000
"1960:02",514.500000,1666.800000,331.600000,1009.800000,78.100000,261.400000,30.900000,32.800000
"1960:03",517.700000,1668.400000,331.700000,1005.700000,77.400000,258.300000,31.000000,33.000000
"1960:04",513.000000,1654.100000,333.800000,1007.800000,68.500000,233.600000,31.000000,33.100000
"1961:01",517.400000,1671.300000,334.400000,1009.500000,69.500000,238.300000,31.000000,33.100000
"1961:02",527.900000,1692.100000,339.100000,1023.500000,74.700000,249.100000,31.200000,33.100000
"1961:03",538.500000,1716.300000,341.900000,1024.600000,81.200000,270.500000,31.400000,33.400000
"1961:04",551.500000,1754.900000,349.100000,1042.900000,83.000000,278.400000,31.400000,33.500000
"1962:01",564.400000,1777.900000,354.000000,1053.600000,87.900000,287.700000,31.700000,33.600000
"1962:02",572.200000,1796.400000,359.700000,1063.600000,88.000000,291.200000,31.800000,33.800000
"1962:03",579.200000,1813.100000,363.700000,1072.800000,89.300000,294.700000,31.900000,33.900000
"1962:04",582.800000,1810.100000,370.200000,1085.800000,85.400000,280.700000,32.200000,34.100000
"1963:01",592.100000,1834.600000,374.000000,1094.100000,88.900000,291.900000,32.300000,34.200000
"1963:02",600.300000,1860.000000,378.200000,1100.200000,92.200000,306.900000,32.300000,34.400000
"1963:03",613.100000,1892.500000,385.100000,1115.500000,95.700000,315.600000,32.400000,34.500000
"1963:04",622.100000,1906.100000,389.600000,1123.600000,95.800000,314.000000,32.600000,34.700000
"1964:01",636.900000,1948.700000,398.800000,1145.200000,98.200000,324.700000,32.700000,34.800000
"1964:02",645.600000,1965.400000,406.400000,1164.400000,98.700000,323.600000,32.800000,34.900000
"1964:03",656.000000,1985.200000,414.900000,1184.800000,100.000000,324.500000,33.000000,35.000000
"1964:04",660.600000,1993.700000,417.100000,1188.000000,101.600000,330.800000,33.100000,35.100000
"1965:01",682.700000,2036.900000,427.600000,1208.200000,114.400000,362.100000,33.500000,35.400000
"1965:02",695.000000,2066.400000,434.400000,1221.700000,114.000000,364.300000,33.600000,35.600000
"1965:03",710.700000,2099.300000,443.400000,1242.300000,117.400000,369.900000,33.900000,35.700000
"1965:04",732.000000,2147.600000,457.400000,1273.200000,118.800000,371.800000,34.100000,35.900000
"1966:01",754.800000,2190.100000,467.700000,1287.600000,128.200000,396.900000,34.500000,36.300000
"1966:02",764.600000,2195.800000,472.700000,1293.100000,129.100000,390.900000,34.800000,36.600000
"1966:03",777.700000,2218.300000,481.700000,1305.500000,127.600000,389.100000,35.100000,36.900000
"1966:04",790.900000,2229.200000,486.900000,1309.500000,129.600000,385.200000,35.500000,37.200000
"1967:01",799.700000,2241.800000,491.400000,1319.400000,125.500000,368.700000,35.700000,37.200000
"1967:02",805.900000,2255.200000,500.500000,1336.500000,120.600000,361.700000,35.700000,37.400000
"1967:03",822.900000,2287.700000,507.500000,1343.300000,126.500000,378.800000,36.000000,37.800000
"1967:04",837.100000,2300.600000,514.700000,1351.500000,130.100000,388.400000,36.400000,38.100000
"1968:01",862.900000,2327.300000,532.400000,1378.100000,133.800000,387.700000,37.100000,38.600000
"1968:02",886.700000,2366.900000,545.800000,1396.700000,137.400000,397.200000,37.500000,39.100000
"1968:03",903.600000,2385.300000,561.600000,1421.500000,136.800000,392.000000,37.900000,39.500000
"1968:04",917.400000,2383.000000,570.100000,1427.100000,139.900000,390.200000,38.500000,39.900000
"1969:01",941.300000,2416.500000,581.700000,1442.900000,151.300000,412.000000,39.000000,40.300000
"1969:02",955.600000,2419.800000,592.700000,1451.700000,151.800000,409.100000,39.500000,40.800000
"1969:03",975.400000,2433.200000,602.700000,1459.900000,158.100000,419.500000,40.100000,41.300000
"1969:04",983.500000,2423.500000,614.300000,1472.000000,151.600000,400.500000,40.600000,41.700000
"1970:01",994.200000,2408.600000,625.100000,1481.500000,146.200000,379.900000,41.300000,42.200000
"1970:02",1008.900000,2406.500000,635.100000,1488.100000,148.200000,376.400000,41.900000,42.700000
"1970:03",1027.900000,2435.800000,646.800000,1501.300000,153.500000,390.600000,42.200000,43.100000
"1970:04",1030.900000,2413.800000,653.000000,1497.200000,147.300000,379.300000,42.700000,43.600000
"1971:01",1075.200000,2478.600000,671.700000,1520.900000,166.600000,415.500000,43.400000,44.200000
