"","PSCCOM"
"1959:01",100.100006
"1959:02",99.300003
"1959:03",101.100006
"1959:04",102.399994
"1959:05",103.500000
"1959:06",103.399994
"1959:07",101.899994
"1959:08",102.000000
"1959:09",101.899994
"1959:10",101.199997
"1959:11",100.500000
"1959:12",98.699997
"1960:01",99.600006
"1960:02",99.000000
"1960:03",99.000000
"1960:04",100.899994
"1960:05",101.300003
"1960:06",100.600006
"1960:07",100.699997
"1960:08",100.500000
"1960:09",98.899994
"1960:10",98.199997
"1960:11",97.600006
"1960:12",96.399994
"1961:01",97.600006
"1961:02",99.500000
"1961:03",101.399994
"1961:04",102.399994
"1961:05",101.800003
"1961:06",98.899994
"1961:07",99.399994
"1961:08",100.000000
"1961:09",99.399994
"1961:10",98.600006
"1961:11",97.600006
"1961:12",99.600006
"1962:01",100.399994
"1962:02",98.500000
"1962:03",99.000000
"1962:04",97.300003
"1962:05",96.500000
"1962:06",94.899994
"1962:07",94.399994
"1962:08",94.500000
"1962:09",94.399994
"1962:10",94.800003
"1962:11",94.899994
"1962:12",94.500000
"1963:01",95.399994
"1963:02",95.199997
"1963:03",94.100006
"1963:04",94.899994
"1963:05",97.000000
"1963:06",95.399994
"1963:07",95.699997
"1963:08",94.500000
"1963:09",94.899994
"1963:10",97.800003
"1963:11",97.699997
"1963:12",96.899994
"1964:01",97.399994
"1964:02",96.300003
"1964:03",96.199997
"1964:04",98.300003
"1964:05",97.199997
"1964:06",97.100006
"1964:07",97.800003
"1964:08",99.899994
"1964:09",102.000000
"1964:10",104.399994
"1964:11",104.800003
"1964:12",105.300003
"1965:01",104.400000
"1965:02",104.500000
"1965:03",105.100000
"1965:04",107.300000
"1965:05",107.300000
"1965:06",106.300000
"1965:07",105.400000
"1965:08",106.800000
"1965:09",107.600000
"1965:10",107.800000
"1965:11",108.300000
"1965:12",111.100000
"1966:01",114.300000
"1966:02",116.100000
"1966:03",115.900000
"1966:04",114.800000
"1966:05",113.000000
"1966:06",113.700000
"1966:07",115.400000
"1966:08",112.900000
"1966:09",109.500000
"1966:10",105.800000
"1966:11",104.700000
"1966:12",104.900000
"1967:01",105.000000
"1967:02",104.100000
"1967:03",102.000000
"1967:04",100.100000
"1967:05",101.000000
"1967:06",100.800000
"1967:07",99.100000
"1967:08",98.700000
"1967:09",97.900000
"1967:10",96.900000
"1967:11",96.900000
"1967:12",98.100000
"1968:01",98.100000
"1968:02",98.400000
"1968:03",99.000000
"1968:04",98.000000
"1968:05",96.700000
"1968:06",96.100000
"1968:07",95.400000
"1968:08",95.600000
"1968:09",96.400000
"1968:10",97.100000
"1968:11",100.100000
"1968:12",100.800000
"1969:01",102.900000
"1969:02",105.100000
"1969:03",106.200000
"1969:04",107.800000
"1969:05",109.800000
"1969:06",111.300000
"1969:07",111.300000
"1969:08",113.200000
"1969:09",113.900000
"1969:10",113.600000
"1969:11",114.200000
"1969:12",114.600000
"1970:01",116.100000
"1970:02",116.600000
"1970:03",116.900000
"1970:04",116.300000
"1970:05",115.000000
"1970:06",113.800000
"1970:07",112.900000
"1970:08",112.900000
"1970:09",112.000000
"1970:10",110.900000
"1970:11",109.200000
"1970:12",107.200000
"1971:01",107.100000
"1971:02",109.900000
"1971:03",109.300000
"1971:04",109.700000
"1971:05",108.800000
"1971:06",108.100000
"1971:07",108.300000
"1971:08",108.300000
"1971:09",107.400000
"1971:10",106.700000
"1971:11",105.800000
"1971:12",106.700000
"1972:01",110.300000
"1972:02",112.400000
"1972:03",114.400000
"1972:04",115.600000
"1972:05",119.200000
"1972:06",119.100000
"1972:07",119.800000
"1972:08",121.000000
"1972:09",122.700000
"1972:10",124.500000
"1972:11",126.200000
"1972:12",130.800000
"1973:01",134.400000
"1973:02",143.000000
"1973:03",149.900000
"1973:04",152.900000
"1973:05",161.100000
"1973:06",171.200000
"1973:07",181.900000
"1973:08",207.800000
"1973:09",194.900000
"1973:10",192.000000
"1973:11",192.100000
"1973:12",204.300000
"1974:01",213.300000
"1974:02",232.000000
"1974:03",233.000000
"1974:04",230.800000
"1974:05",221.600000
"1974:06",224.400000
"1974:07",236.900000
"1974:08",240.800000
"1974:09",230.500000
"1974:10",231.500000
"1974:11",227.800000
"1974:12",213.100000
"1975:01",205.100000
"1975:02",201.900000
"1975:03",198.600000
"1975:04",201.200000
"1975:05",194.500000
"1975:06",187.200000
"1975:07",195.500000
"1975:08",205.600000
"1975:09",206.300000
"1975:10",201.400000
"1975:11",191.700000
"1975:12",189.700000
"1976:01",190.400000
"1976:02",193.200000
"1976:03",196.000000
"1976:04",202.300000
"1976:05",202.800000
"1976:06",207.400000
"1976:07",216.000000
"1976:08",206.900000
"1976:09",203.100000
"1976:10",196.500000
"1976:11",197.200000
"1976:12",200.600000
"1977:01",207.300000
"1977:02",213.000000
"1977:03",218.400000
"1977:04",220.800000
"1977:05",218.700000
"1977:06",208.500000
"1977:07",204.100000
"1977:08",200.800000
"1977:09",201.300000
"1977:10",203.300000
"1977:11",205.900000
"1977:12",212.700000
"1978:01",218.000000
"1978:02",220.300000
"1978:03",226.400000
"1978:04",228.000000
