"","TRES"
"1959:01",11112.000000
"1959:02",11129.000000
"1959:03",11081.000000
"1959:04",11116.000000
"1959:05",11058.000000
"1959:06",10972.000000
"1959:07",11109.000000
"1959:08",11168.000000
"1959:09",11128.000000
"1959:10",11057.000000
"1959:11",11052.000000
"1959:12",11109.000000
"1960:01",11081.000000
"1960:02",10884.000000
"1960:03",10796.000000
"1960:04",10767.000000
"1960:05",10840.000000
"1960:06",10885.000000
"1960:07",10994.000000
"1960:08",11078.000000
"1960:09",11147.000000
"1960:10",11216.000000
"1960:11",11299.000000
"1960:12",11247.000000
"1961:01",11324.000000
"1961:02",11229.000000
"1961:03",11108.000000
"1961:04",11123.000000
"1961:05",11035.000000
"1961:06",11087.000000
"1961:07",11124.000000
"1961:08",11234.000000
"1961:09",11289.000000
"1961:10",11413.000000
"1961:11",11482.000000
"1961:12",11499.000000
"1962:01",11490.000000
"1962:02",11301.000000
"1962:03",11259.000000
"1962:04",11330.000000
"1962:05",11384.000000
"1962:06",11328.000000
"1962:07",11394.000000
"1962:08",11355.000000
"1962:09",11383.000000
"1962:10",11450.000000
"1962:11",11492.000000
"1962:12",11604.000000
"1963:01",11567.000000
"1963:02",11456.000000
"1963:03",11404.000000
"1963:04",11449.000000
"1963:05",11426.000000
"1963:06",11398.000000
"1963:07",11530.000000
"1963:08",11484.000000
"1963:09",11503.000000
"1963:10",11457.000000
"1963:11",11547.000000
"1963:12",11730.000000
"1964:01",11643.000000
"1964:02",11547.000000
"1964:03",11563.000000
"1964:04",11537.000000
"1964:05",11523.000000
"1964:06",11595.000000
"1964:07",11651.000000
"1964:08",11795.000000
"1964:09",11863.000000
"1964:10",11888.000000
"1964:11",11998.000000
"1964:12",12011.000000
"1965:01",11952.000000
"1965:02",11883.000000
"1965:03",11884.000000
"1965:04",12043.000000
"1965:05",11912.000000
"1965:06",12005.000000
"1965:07",12073.000000
"1965:08",12079.000000
"1965:09",12071.000000
"1965:10",12118.000000
"1965:11",12087.000000
"1965:12",12316.000000
"1966:01",12295.000000
"1966:02",12193.000000
"1966:03",12164.000000
"1966:04",12258.000000
"1966:05",12263.000000
"1966:06",12256.000000
"1966:07",12371.000000
"1966:08",12165.000000
"1966:09",12229.000000
"1966:10",12199.000000
"1966:11",12205.000000
"1966:12",12223.000000
"1967:01",12334.000000
"1967:02",12280.000000
"1967:03",12438.000000
"1967:04",12488.000000
"1967:05",12418.000000
"1967:06",12457.000000
"1967:07",12722.000000
"1967:08",12678.000000
"1967:09",12846.000000
"1967:10",13088.000000
"1967:11",13131.000000
"1967:12",13180.000000
"1968:01",13239.000000
"1968:02",13188.000000
"1968:03",13186.000000
"1968:04",13117.000000
"1968:05",13130.000000
"1968:06",13251.000000
"1968:07",13455.000000
"1968:08",13440.000000
"1968:09",13435.000000
"1968:10",13529.000000
"1968:11",13649.000000
"1968:12",13767.000000
"1969:01",13629.000000
"1969:02",13714.000000
"1969:03",13653.000000
"1969:04",13471.000000
"1969:05",13844.000000
"1969:06",13795.000000
"1969:07",13491.000000
"1969:08",13784.000000
"1969:09",13822.000000
"1969:10",13904.000000
"1969:11",14172.000000
"1969:12",14168.000000
"1970:01",14087.000000
"1970:02",14099.000000
"1970:03",14071.000000
"1970:04",14209.000000
"1970:05",14007.000000
"1970:06",14078.000000
"1970:07",14159.000000
"1970:08",14282.000000
"1970:09",14447.000000
"1970:10",14480.000000
"1970:11",14470.000000
"1970:12",14558.000000
"1971:01",14604.000000
"1971:02",14819.000000
"1971:03",14798.000000
"1971:04",14759.000000
"1971:05",14982.000000
"1971:06",15057.000000
"1971:07",15125.000000
"1971:08",15190.000000
"1971:09",15423.000000
"1971:10",15211.000000
"1971:11",15247.000000
"1971:12",15230.000000
"1972:01",15369.000000
"1972:02",15363.000000
"1972:03",15480.000000
"1972:04",15651.000000
"1972:05",15739.000000
"1972:06",15909.000000
"1972:07",15835.000000
"1972:08",16010.000000
"1972:09",16000.000000
"1972:10",16193.000000
"1972:11",16441.000000
"1972:12",16645.000000
"1973:01",16708.000000
"1973:02",16714.000000
"1973:03",16923.000000
"1973:04",16731.000000
"1973:05",16672.000000
"1973:06",16746.000000
"1973:07",16988.000000
"1973:08",16796.000000
"1973:09",16735.000000
"1973:10",16924.000000
"1973:11",16978.000000
"1973:12",17021.000000
"1974:01",17222.000000
"1974:02",17125.000000
"1974:03",17131.000000
"1974:04",17298.000000
"1974:05",17423.000000
"1974:06",17367.000000
"1974:07",17486.000000
"1974:08",17391.000000
"1974:09",17385.000000
"1974:10",17349.000000
"1974:11",17453.000000
"1974:12",17550.000000
"1975:01",17273.000000
"1975:02",17271.000000
"1975:03",17439.000000
"1975:04",17498.000000
"1975:05",17353.000000
"1975:06",17715.000000
"1975:07",17632.000000
"1975:08",17660.000000
"1975:09",17834.000000
"1975:10",17587.000000
"1975:11",17849.000000
"1975:12",17822.000000
